linear_pu_cvvdp = [6.694, 6.0314, 5.7375, 5.4452, 5.3102, 5.9555, 6.4495, 7.3678, 6.5095, 7.1786, 6.9635, 6.586, 6.8249, 6.9999, 6.4574, 7.1521, 5.9474, 5.9358]
linear_pq_cvvdp = [7.228, 6.4507, 6.1599, 5.9397, 5.8131, 6.444, 6.899, 7.8391, 6.7871, 7.5947, 7.1402, 7.0091, 7.3019, 7.4792, 6.9169, 7.5857, 6.394, 6.4687]
linear_mu_cvvdp = [7.1939, 6.592, 6.3036, 6.0957, 5.9546, 6.5039, 7.0054, 7.878, 7.0519, 7.6416, 7.683, 7.1025, 7.3914, 7.531, 7.0303, 7.7102, 6.5319, 6.4959]
mu_l1_psnr_cvvdp = [7.2757, 6.3349, 5.9148, 5.7743, 5.6431, 6.3897, 6.8905, 7.7627, 6.7994, 7.4556, 7.5799, 6.9655, 7.1774, 7.4744, 6.7139, 7.4177, 6.2042, 6.4416]
pu21_cvvdp = [6.9019, 6.0347, 5.7033, 5.4851, 5.3125, 6.0737, 6.5621, 7.3999, 6.5662, 7.1789, 7.286, 6.6579, 6.8812, 7.1496, 6.4811, 7.0973, 5.9618, 6.0811]
navie_ssim = [0.7667, 0.6459, 0.5594, 0.5647, 0.4296, 0.5603, 0.781, 0.8582, 0.7958, 0.8559, 0.8416, 0.7147, 0.8098, 0.8195, 0.8116, 0.8628, 0.6332, 0.5694]
linear_ssim = [0.8478, 0.7871, 0.7277, 0.7128, 0.6762, 0.6646, 0.8323, 0.9148, 0.8549, 0.8831, 0.8834, 0.8168, 0.8948, 0.8897, 0.8943, 0.933, 0.789, 0.6582]
pu_ssim = [0.8991, 0.818, 0.7529, 0.7461, 0.7178, 0.7498, 0.8719, 0.9448, 0.9033, 0.9204, 0.9266, 0.8519, 0.9219, 0.9246, 0.9128, 0.9435, 0.8115, 0.7193]
pq_ssim = [0.9156, 0.837, 0.7788, 0.7758, 0.7511, 0.7727, 0.8838, 0.9553, 0.9143, 0.9295, 0.9359, 0.8682, 0.9309, 0.936, 0.9229, 0.9519, 0.8306, 0.7435]
linear_smape_ssim = [0.8978, 0.8239, 0.7681, 0.7567, 0.7292, 0.7551, 0.8711, 0.9486, 0.908, 0.9241, 0.9276, 0.8576, 0.9255, 0.9262, 0.9181, 0.9478, 0.8214, 0.727]
linear_pu_ssim = [0.8746, 0.7962, 0.7294, 0.7198, 0.6849, 0.7258, 0.8516, 0.9372, 0.8805, 0.9128, 0.9095, 0.8386, 0.9103, 0.9081, 0.9028, 0.9371, 0.7937, 0.6968]
linear_pq_ssim = [0.9023, 0.8345, 0.7746, 0.7714, 0.7488, 0.7629, 0.8754, 0.9524, 0.9055, 0.9276, 0.9306, 0.8627, 0.9297, 0.9298, 0.9229, 0.9517, 0.8308, 0.7347]
linear_mu_ssim = [0.9022, 0.8464, 0.7923, 0.7878, 0.7652, 0.7663, 0.8808, 0.9529, 0.9122, 0.929, 0.9318, 0.8641, 0.9319, 0.9311, 0.9276, 0.9543, 0.8413, 0.7373]
mu_l1_psnr_ssim = [0.9097, 0.8293, 0.7606, 0.7612, 0.7321, 0.7603, 0.8785, 0.9521, 0.9066, 0.9255, 0.9334, 0.8599, 0.9267, 0.9318, 0.9165, 0.9484, 0.8191, 0.7356]
pu21_ssim = [0.8862, 0.7967, 0.7282, 0.7219, 0.6843, 0.7317, 0.8572, 0.9379, 0.894, 0.9135, 0.9194, 0.841, 0.9124, 0.914, 0.9032, 0.9354, 0.7938, 0.703]
