EDSR
t statistic: -2.7234627089745396
p value: 0.009370920415052452
Las_Vegas_Store_aug_1_raw_pu_l1.hdr 41.0032 45.1417 8.7366


Las_Vegas_Store_aug_2_raw_naive.hdr 42.0560 47.1986 9.0670
Las_Vegas_Store_aug_2_raw_linear_l1.hdr 23.4641 24.0366 6.2305
Las_Vegas_Store_aug_2_raw_pq_l1.hdr 43.3159 49.6305 9.3037
Las_Vegas_Store_aug_2_raw_pu_l1.hdr 42.2334 48.2193 9.1523


Las_Vegas_Store_aug_3_raw_naive.hdr 42.2708 47.0420 9.0465
Las_Vegas_Store_aug_3_raw_linear_l1.hdr 22.9910 23.6111 5.9567
Las_Vegas_Store_aug_3_raw_pq_l1.hdr 43.5710 49.5489 9.2963
Las_Vegas_Store_aug_3_raw_pu_l1.hdr 42.3412 47.9921 9.1296


Las_Vegas_Store_aug_4_raw_naive.hdr 43.3913 46.5391 8.9799
Las_Vegas_Store_aug_4_raw_linear_l1.hdr 21.0387 21.5735 5.2497
Las_Vegas_Store_aug_4_raw_pq_l1.hdr 45.0290 49.1785 9.2523
Las_Vegas_Store_aug_4_raw_pu_l1.hdr 42.6848 47.0114 9.0426


Las_Vegas_Store_aug_5_raw_naive.hdr 45.0462 47.2340 9.0400
Las_Vegas_Store_aug_5_raw_linear_l1.hdr 19.6422 19.8594 5.1532
Las_Vegas_Store_aug_5_raw_pq_l1.hdr 46.8303 49.9673 9.3002
Las_Vegas_Store_aug_5_raw_pu_l1.hdr 43.0231 46.8002 9.0178


McKee\'s_Pub_raw_naive.hdr 51.2866 54.8353 9.4372
McKee\'s_Pub_raw_linear_l1.hdr 40.6892 41.7057 8.3715
McKee\'s_Pub_raw_pq_l1.hdr 52.6168 58.2836 9.6491
McKee\'s_Pub_raw_pu_l1.hdr 52.1400 57.7395 9.6284


McKee\'s_Pub_aug_1_raw_naive.hdr 49.4203 52.5373 9.3215
McKee\'s_Pub_aug_1_raw_linear_l1.hdr 36.6432 37.9252 7.8179
McKee\'s_Pub_aug_1_raw_pq_l1.hdr 51.0629 56.2367 9.5887
McKee\'s_Pub_aug_1_raw_pu_l1.hdr 50.4786 55.6886 9.5647


McKee\'s_Pub_aug_2_raw_naive.hdr 47.2311 48.7546 9.1016
McKee\'s_Pub_aug_2_raw_linear_l1.hdr 26.6138 27.1851 5.8895
